user_id,tranche_age,objectif,format,thematique,niveau_lecture,frequence_lecture,moment_consomation,auteur_prefere,description,decouvertePrefrence,recommendations,num_recommendations
U011,18-24,seDivertir,podcast,mystere,debutant,20-30,nuit,,Histoires mystérieuses et paranormal,nouveautes,Podcast Paroles d'Histoire|Podcast Mystères et Légendes|Podcast Entre les Lignes,3
U012,25-34,apprendre,livre,science,avance,45-60,soir,Frank Herbert,Science-fiction écologie et politique,mix,Dune - Frank Herbert|Le Messie de Dune - Frank Herbert|Les Enfants de Dune - Frank Herbert,3
U013,35-44,seDivertir,livreAudio,fiction,intermediaire,15-30,matin,Antoine de Saint-Exupéry,Contes poétiques et philosophiques,habitudes,Le Petit Prince - Antoine de Saint-Exupéry|Vol de Nuit - Antoine de Saint-Exupéry|Terre des Hommes - Antoine de Saint-Exupéry,3
U014,25-34,apprendre,podcast,science,intermediaire,30-45,transport,,Vulgarisation scientifique,mix,Podcast La Méthode Scientifique|Podcast Science Étonnante|Podcast La Conversation Scientifique,3
U015,45-54,seDivertir,livre,thriller,avance,30-60,soir,George Orwell,Dystopie surveillance et contrôle,nouveautes,1984 - George Orwell|La Ferme des Animaux - George Orwell|Fahrenheit 451 - Ray Bradbury|Le Meilleur des Mondes - Aldous Huxley,4
U016,18-24,apprendre,livreAudio,fantasy,debutant,20-40,soir,J.R.R. Tolkien,Aventures épiques et dragons,nouveautes,Le Seigneur des Anneaux - J.R.R. Tolkien|Le Hobbit - J.R.R. Tolkien|Le Silmarillion - J.R.R. Tolkien,3
U017,55-64,seDetendre,podcast,bien-etre,debutant,15-20,matin,,Méditation et relaxation,habitudes,Podcast Méditations Guidées|Podcast Calm|Podcast Mindfulness,3
U018,25-34,seDivertir,livre,cyberpunk,avance,30-45,nuit,William Gibson,Hackers réalité virtuelle et IA,nouveautes,Neuromancien - William Gibson|Gravé sur Chrome - William Gibson|Comte Zéro - William Gibson|Snow Crash - Neal Stephenson,4
U019,35-44,apprendre,livreAudio,biographie,intermediaire,45-60,transport,Michelle Obama,Inspirations et leadership,mix,Devenir - Michelle Obama|Une Terre Promise - Barack Obama|Moi Malala - Malala Yousafzai,3
U020,45-54,seDivertir,livre,historique,avance,60-90,weekend,Tracy Chevalier,Art et histoire du 17e siècle,habitudes,La Jeune Fille à la Perle - Tracy Chevalier|Le Récital des Anges - Tracy Chevalier|La Dame à la Licorne - Tracy Chevalier,3
U021,18-24,apprendre,podcast,creativite,debutant,30-60,soir,,Interviews d'artistes et entrepreneurs,nouveautes,Podcast Créatifs Culturels|Podcast Artists & Entrepreneurs|Podcast Innovation & Créativité,3
U022,25-34,apprendre,livre,science,avance,45-60,nuit,Ernest Cline,Réalité virtuelle et gaming,mix,Ready Player One - Ernest Cline|Armada - Ernest Cline|Snow Crash - Neal Stephenson,3
U023,35-44,seDetendre,livreAudio,fiction,intermediaire,20-30,transport,Albert Camus,Philosophie et existentialisme,habitudes,L'Étranger - Albert Camus|La Peste - Albert Camus|Le Mythe de Sisyphe - Albert Camus,3
U024,55-64,apprendre,livre,histoire,avance,60-90,apres-midi,,Civilisations anciennes et évolution,mix,Sapiens - Yuval Noah Harari|Égypte Ancienne - Christian Jacq|Histoire de Rome - Tite-Live|Les Grandes Civilisations - Fernand Braudel,4
U025,18-24,seDivertir,podcast,gastronomie,debutant,20-30,weekend,,Cuisine du monde et recettes,nouveautes,Podcast On va déguster|Podcast Table Ronde Gastronomique|Podcast Saveurs du Monde,3
U026,25-34,apprendre,livre,technologie,intermediaire,30-45,soir,,Intelligence artificielle et futur,nouveautes,La Singularité est proche - Ray Kurzweil|L'Intelligence Artificielle - Stuart Russell|Superintelligence - Nick Bostrom,3
U027,45-54,seDivertir,livreAudio,romance,intermediaire,30-45,transport,Jane Austen,Romances classiques période victorienne,habitudes,Persuasion - Jane Austen|Mansfield Park - Jane Austen|Northanger Abbey - Jane Austen,3
U028,35-44,apprendre,podcast,histoire,intermediaire,40-60,transport,,Guerres mondiales et géopolitique,mix,Podcast 2000 Ans d'Histoire|Podcast La Marche de l'Histoire|Podcast Récits de Guerre,3
U029,25-34,seDivertir,livre,fantasy,intermediaire,45-60,weekend,J.R.R. Tolkien,Tolkien univers terre du milieu,habitudes,Le Seigneur des Anneaux - J.R.R. Tolkien|Le Silmarillion - J.R.R. Tolkien|Contes et Légendes Inachevés - J.R.R. Tolkien,3
U030,18-24,apprendre,livreAudio,science,debutant,15-30,matin,Yuval Noah Harari,Évolution humaine et société,mix,Sapiens - Yuval Noah Harari|Homo Deus - Yuval Noah Harari|Une Brève Histoire du Temps - Stephen Hawking,3
U031,35-44,seDivertir,podcast,musique,intermediaire,20-30,soir,,Histoire de la musique classique et jazz,mix,Podcast Une Histoire de la Musique|Podcast Jazz & Blues|Podcast Classique HD,3
U032,25-34,apprendre,livre,philosophie,avance,45-60,nuit,Friedrich Nietzsche,Philosophie existentialiste et morale,habitudes,Ainsi Parlait Zarathoustra - Friedrich Nietzsche|Par-delà le Bien et le Mal - Friedrich Nietzsche|L'Antichrist - Friedrich Nietzsche,3
U033,45-54,seDetendre,livreAudio,bien-etre,debutant,15-30,matin,,Développement personnel et motivation,nouveautes,Le Pouvoir du Moment Présent - Eckhart Tolle|Les 7 Habitudes - Stephen Covey|Réfléchissez et Devenez Riche - Napoleon Hill,3
U034,18-24,seDivertir,livre,romance,debutant,30-60,soir,Nicholas Sparks,Romances contemporaines émouvantes,nouveautes,N'oublie Jamais - Nicholas Sparks|Les Pages de Notre Amour - Nicholas Sparks|Une Bouteille à la Mer - Nicholas Sparks,3
U035,55-64,apprendre,podcast,economie,avance,45-60,transport,,Économie mondiale et marchés financiers,mix,Podcast Entendez-Vous l'Éco|Podcast Les Dessous de l'Économie|Podcast Finance & Marchs,3
U036,25-34,seDivertir,livreAudio,policier,intermediaire,20-40,transport,Agatha Christie,Enquêtes mystérieuses et détectives,habitudes,Le Crime de l'Orient-Express - Agatha Christie|Dix Petits Nègres - Agatha Christie|Le Meurtre de Roger Ackroyd - Agatha Christie,3
U037,35-44,apprendre,livre,art,intermediaire,30-45,weekend,,Histoire de l'art et grands peintres,mix,L'Histoire de l'Art - Ernst Gombrich|Van Gogh - David Haziot|Les Impressionnistes - Sophie Monneret,3
U038,18-24,seDivertir,podcast,sports,debutant,15-30,matin,,Actualité sportive et analyses,nouveautes,Podcast L'Équipe du Soir|Podcast Sport & Stratégie|Podcast Champions du Monde,3
U039,45-54,apprendre,livre,psychologie,avance,60-90,apres-midi,Sigmund Freud,Psychanalyse et comportement humain,habitudes,L'Interprétation des Rêves - Sigmund Freud|Psychopathologie de la Vie Quotidienne - Sigmund Freud|Au-delà du Principe de Plaisir - Sigmund Freud,3
U040,25-34,seDivertir,livreAudio,fantasy,intermediaire,30-45,soir,Brandon Sanderson,Magie systèmes complexes et épopées,nouveautes,Mistborn - Brandon Sanderson|La Voie des Rois - Brandon Sanderson|Elantris - Brandon Sanderson|Warbreaker - Brandon Sanderson,4
U041,35-44,seDetendre,podcast,nature,debutant,20-30,weekend,,Écologie et protection de l'environnement,mix,Podcast De Cause à Effets|Podcast La Terre au Carré|Podcast Nature & Écologie,3
U042,55-64,apprendre,livre,science,avance,60-90,apres-midi,Stephen Hawking,Astrophysique et univers,habitudes,Une Brève Histoire du Temps - Stephen Hawking|L'Univers dans une Coquille de Noix - Stephen Hawking|Trous Noirs et Bébés Univers - Stephen Hawking,3
U043,18-24,seDivertir,livre,dystopie,intermediaire,30-60,nuit,Suzanne Collins,Sociétés post-apocalyptiques et rébellion,nouveautes,Hunger Games - Suzanne Collins|L'Embrasmé - Suzanne Collins|La Révolte - Suzanne Collins|Divergente - Veronica Roth,4
U044,25-34,apprendre,livreAudio,histoire,intermediaire,30-45,transport,,Seconde guerre mondiale et résistance,mix,La Deuxième Guerre Mondiale - Winston Churchill|Si c'est un Homme - Primo Levi|Le Journal d'Anne Frank - Anne Frank,3
U045,45-54,seDivertir,podcast,humour,intermediaire,20-30,soir,,Comédie et stand-up,nouveautes,Podcast Les Pieds sur Terre|Podcast Humour & Rires|Podcast Stand-Up France,3
U046,35-44,apprendre,livre,business,avance,45-60,matin,Peter Thiel,Entrepreneuriat et innovation,mix,Zero to One - Peter Thiel|The Lean Startup - Eric Ries|De Zéro à Un - Peter Thiel|Innovate or Die - Peters & Waterman,4
U047,18-24,seDivertir,livreAudio,aventure,debutant,30-60,transport,Jules Verne,Voyages extraordinaires et découvertes,habitudes,Vingt Mille Lieues sous les Mers - Jules Verne|Le Tour du Monde en 80 Jours - Jules Verne|Voyage au Centre de la Terre - Jules Verne,3
U048,55-64,seDetendre,livre,fiction,intermediaire,45-60,weekend,Haruki Murakami,Fiction surréaliste japonaise,nouveautes,Kafka sur le Rivage - Haruki Murakami|1Q84 - Haruki Murakami|La Chronique de l'Oiseau à Ressort - Haruki Murakami,3
U049,25-34,apprendre,podcast,technologie,avance,30-45,transport,,Cryptomonnaies et blockchain,nouveautes,Podcast Crypto & Blockchain|Podcast Web3 Revolution|Podcast Bitcoin Daily,3
U050,35-44,seDivertir,livre,thriller,intermediaire,30-60,soir,Stieg Larsson,Thriller nordique et enquêtes,mix,Millénium 1 - Stieg Larsson|Millénium 2 - Stieg Larsson|Millénium 3 - Stieg Larsson,3
U051,45-54,apprendre,livreAudio,spiritualite,intermediaire,20-40,matin,Eckhart Tolle,Méditation et éveil spirituel,habitudes,Le Pouvoir du Moment Présent - Eckhart Tolle|Nouvelle Terre - Eckhart Tolle|Pratiquer le Pouvoir - Eckhart Tolle,3
U052,18-24,seDivertir,podcast,cinema,debutant,20-30,weekend,,Critiques de films et coulisses,nouveautes,Podcast Le Cinéphile|Podcast Séance 7|Podcast Ciné Club,3
U053,25-34,apprendre,livre,sociologie,avance,45-60,nuit,Pierre Bourdieu,Structures sociales et inégalités,mix,La Distinction - Pierre Bourdieu|Les Héritiers - Pierre Bourdieu|La Reproduction - Pierre Bourdieu,3
U054,55-64,seDivertir,livreAudio,classique,avance,60-90,apres-midi,Honoré de Balzac,Littérature française du 19e siècle,habitudes,Le Père Goriot - Honoré de Balzac|Eugénie Grandet - Honoré de Balzac|Le Colonel Chabert - Honoré de Balzac|Illusions Perdues - Honoré de Balzac,4
U055,35-44,seDetendre,podcast,voyage,intermediaire,30-45,transport,,Récits de voyages et cultures,mix,Podcast Carnets de Voyage|Podcast Voyages & Découvertes|Podcast Tour du Monde,3
U056,18-24,apprendre,livre,science,intermediaire,30-60,soir,Neil deGrasse Tyson,Astronomie vulgarisée et cosmos,nouveautes,Astrophysique pour les Pressés - Neil deGrasse Tyson|Cosmos - Neil deGrasse Tyson|Le Cosmos et Nous - Neil deGrasse Tyson,3
U057,25-34,seDivertir,livreAudio,horreur,intermediaire,20-30,nuit,Stephen King,Horreur psychologique et surnaturel,nouveautes,Shining - Stephen King|Ça - Stephen King|Simetierre - Stephen King|Carrie - Stephen King,4
U058,45-54,apprendre,podcast,sante,intermediaire,30-45,matin,,Nutrition et bien-être physique,mix,Podcast Santé & Bien-Être|Podcast Nutrition Today|Podcast Forme & Santé,3
U059,35-44,seDivertir,livre,espionnage,avance,45-60,soir,John le Carré,Espionnage guerre froide et intrigues,habitudes,L'Espion Qui Venait du Froid - John le Carré|La Taupe - John le Carré|Le Directeur de Nuit - John le Carré,3
U060,55-64,apprendre,livre,jardinage,debutant,30-45,weekend,,Permaculture et jardinage bio,nouveautes,Le Potager du Paresseux - Didier Helmstetter|Permaculture - Sepp Holzer|Mon Premier Potager Bio,3
U061,18-24,seDivertir,podcast,true-crime,intermediaire,30-60,nuit,,Affaires criminelles et enquêtes,nouveautes,Podcast Crimes & Enquêtes|Podcast True Crime France|Podcast Affaires Criminelles,3
U062,25-34,apprendre,livreAudio,leadership,intermediaire,20-30,transport,Simon Sinek,Management et leadership inspirant,mix,Start With Why - Simon Sinek|Leaders Eat Last - Simon Sinek|Pourquoi les Leaders Mangent en Dernier - Simon Sinek,3
U063,35-44,seDetendre,livre,poesie,avance,15-30,soir,Charles Baudelaire,Poésie romantique et symbolisme,habitudes,Les Fleurs du Mal - Charles Baudelaire|Le Spleen de Paris - Charles Baudelaire|Les Paraïs Artificiels - Charles Baudelaire,3
U064,45-54,seDivertir,podcast,parentalite,debutant,20-30,matin,,Éducation positive et vie de famille,mix,Podcast Parents & Enfants|Podcast La Matrescence|Podcast Éducation Positive,3
U065,25-34,apprendre,livre,mathematiques,avance,60-90,nuit,,Théorie des nombres et logique,nouveautes,Gödel Escher Bach - Douglas Hofstadter|Mathématiques pour l'Agrégation - François Liret|La Poésie des Mathématiques - Cédric Villani,3
U066,18-24,seDivertir,livreAudio,young-adult,debutant,30-60,soir,John Green,Coming-of-age et adolescence,nouveautes,Nos Étoiles Contraires - John Green|Le Panthéon - John Green|Will et Will - John Green|Qui es-tu Alaska - John Green,4
U067,55-64,apprendre,podcast,geopolitique,avance,45-60,transport,,Relations internationales et diplomatie,mix,Podcast Géopolitique Le Débat|Podcast Affaires Étrangères|Podcast Cartes sur Table,3
U068,35-44,seDivertir,livre,saga-familiale,intermediaire,60-90,weekend,Gabriel García Márquez,Réalisme magique et générations,habitudes,Cent Ans de Solitude - Gabriel García Márquez|L'Amour aux Temps du Choléra - Gabriel García Márquez|Chronique d'une Mort Annoncée - Gabriel García Márquez,3
U069,25-34,apprendre,livreAudio,marketing,intermediaire,30-45,transport,Seth Godin,Marketing digital et stratégie,nouveautes,La Vache Pourpre - Seth Godin|Permission Marketing - Seth Godin|Tribus - Seth Godin,3
U070,45-54,seDetendre,podcast,meditation,debutant,10-20,matin,,Pleine conscience et relaxation guidée,habitudes,Podcast Méditation Quotidienne|Podcast Pleine Conscience|Podcast Mindful Life,3
U071,18-24,seDivertir,livre,manga,debutant,45-60,soir,,Shonen aventure et combats,nouveautes,One Piece - Eiichiro Oda|Naruto - Masashi Kishimoto|My Hero Academia - Kohei Horikoshi|Demon Slayer - Koyoharu Gotouge,4
U072,35-44,apprendre,livre,architecture,intermediaire,30-45,weekend,,Histoire de l'architecture moderne,mix,Vers une Architecture - Le Corbusier|L'Architecture Moderne - Kenneth Frampton|Histoire de l'Architecture - Françoise Choay,3
U073,25-34,seDivertir,livreAudio,western,intermediaire,20-40,transport,Cormac McCarthy,Western sombre et violence,nouveautes,Meridien de Sang - Cormac McCarthy|La Route - Cormac McCarthy|Non ce Pays n'est pas pour le Vieil Homme - Cormac McCarthy,3
U074,55-64,apprendre,podcast,philosophie,avance,40-60,apres-midi,,Éthique et questions morales,habitudes,Podcast Les Chemins de la Philosophie|Podcast Philosophie Magazine|Podcast Regards Philosophiques,3
U075,45-54,seDivertir,livre,maritime,intermediaire,30-60,weekend,Patrick O'Brian,Aventures navales époque napoléonienne,mix,Maître à Bord - Patrick O'Brian|Capitaine de Vaisseau - Patrick O'Brian|La Surprise - Patrick O'Brian,3
U076,18-24,apprendre,livreAudio,feminisme,intermediaire,20-30,transport,Simone de Beauvoir,Égalité des genres et société,nouveautes,Le Deuxième Sexe - Simone de Beauvoir|Nous Sommes Tous des Féministes - Chimamanda Ngozi Adichie|King Kong Théorie - Virginie Despentes,3
U077,25-34,seDivertir,podcast,jeux-video,debutant,30-45,soir,,Gaming culture et e-sport,nouveautes,Podcast Game One|Podcast Press Start|Podcast Pixel Culture,3
U078,35-44,apprendre,livre,astronomie,avance,45-60,nuit,Carl Sagan,Exploration spatiale et extraterrestres,mix,Cosmos - Carl Sagan|Contact - Carl Sagan|Pâle Point Bleu - Carl Sagan,3
U079,45-54,seDetendre,livreAudio,terroir,intermediaire,30-45,weekend,Jean Giono,Littérature rurale et nature,habitudes,Regain - Jean Giono|L'Homme Qui Plantait des Arbres - Jean Giono|Jean de Florette - Marcel Pagnol,3
U080,55-64,apprendre,podcast,langues,intermediaire,20-30,matin,,Apprentissage des langues étrangères,mix,Podcast Polyglotte|Podcast Learn Languages Fast|Podcast Parler Langues,3
U081,18-24,seDivertir,livre,super-heros,debutant,30-60,soir,,Comics Marvel et DC univers,nouveautes,Spider-Man Ultimate - Brian Michael Bendis|Batman Year One - Frank Miller|Watchmen - Alan Moore|Civil War - Mark Millar,4
U082,25-34,apprendre,livre,climat,avance,45-60,weekend,,Changement climatique et solutions,nouveautes,Comment Éviter un Désastre Climatique - Bill Gates|Le Monde sans Fin - Jancovici|Drawdown - Paul Hawken,3
U083,35-44,seDivertir,livreAudio,conte,debutant,15-30,matin,Hans Christian Andersen,Contes classiques pour adultes,habitudes,Contes - Hans Christian Andersen|Contes de Grimm - Frères Grimm|Contes de Perrault - Charles Perrault,3
U084,45-54,apprendre,podcast,archeologie,intermediaire,30-45,transport,,Découvertes archéologiques et civilisations,mix,Podcast Carbone 14|Podcast Archéologie Vivante|Podcast Mystères Anciens,3
U085,25-34,seDivertir,livre,steampunk,intermediaire,30-60,nuit,Jules Verne,Uchronie victorienne et machines,nouveautes,La Différence Engine - William Gibson|Levée - China Miéville|Morlock Night - K.W. Jeter,3
U086,55-64,seDetendre,livreAudio,memoir,avance,60-90,apres-midi,Maya Angelou,Mémoires et récits de vie,habitudes,Je Sais Pourquoi Chante l'Oiseau en Cage - Maya Angelou|Devenir - Michelle Obama|L'Éducation - Tara Westover,3
U087,18-24,apprendre,podcast,design,debutant,20-30,soir,,Design graphique et UX,nouveautes,Podcast Design Matters|Podcast UX Today|Podcast Creative Culture,3
U088,35-44,seDivertir,livre,noir,avance,45-60,nuit,Raymond Chandler,Polar américain années 40,mix,Le Grand Sommeil - Raymond Chandler|Adieu Ma Jolie - Raymond Chandler|La Dame du Lac - Raymond Chandler|Le Faucon Maltais - Dashiell Hammett,4
U089,25-34,apprendre,livreAudio,neurosciences,avance,30-45,transport,Oliver Sacks,Cerveau et conscience,nouveautes,L'Homme Qui Prenait sa Femme pour un Chapeau - Oliver Sacks|Musicophilia - Oliver Sacks|En Mouvement - Oliver Sacks,3
U090,45-54,seDivertir,podcast,vin,intermediaire,20-30,weekend,,Œnologie et terroirs,mix,Podcast On Va Déguster le Vin|Podcast Sommelier Cast|Podcast Vins & Terroirs,3
U091,18-24,apprendre,livre,mode,debutant,30-45,soir,,Histoire de la mode et stylisme,nouveautes,La Petite Robe Noire - Valérie Steele|Histoire de la Mode - François Boucher|Vogue L'Histoire,3
U092,55-64,seDivertir,livre,guerre,avance,60-90,apres-midi,Ernest Hemingway,Guerres du 20e siècle témoignages,habitudes,Pour Qui Sonne le Glas - Ernest Hemingway|L'Adieu aux Armes - Ernest Hemingway|À l'Ouest Rien de Nouveau - Erich Maria Remarque,3
U093,25-34,apprendre,livreAudio,crypto,intermediaire,20-30,transport,,Bitcoin DeFi et Web3,nouveautes,The Bitcoin Standard - Saifedean Ammous|Mastering Bitcoin - Andreas Antonopoulos|Cryptoassets - Chris Burniske,3
U094,35-44,seDetendre,podcast,sommeil,debutant,10-15,nuit,,Histoires pour dormir et relaxation,habitudes,Podcast Sleepy Stories|Podcast Get Sleepy|Podcast Rien à Dire,3
U095,45-54,seDivertir,livre,polar,intermediaire,30-60,weekend,Fred Vargas,Polar français contemporain,mix,Debout les Morts - Fred Vargas|L'Homme aux Cercles Bleus - Fred Vargas|Pars Vite et Reviens Tard - Fred Vargas,3
U096,18-24,apprendre,podcast,carriere,debutant,20-30,matin,,Orientation professionnelle et CV,nouveautes,Podcast JobCast|Podcast Carrière & Ambitions|Podcast Le Grand Entretien Pro,3
U097,25-34,seDivertir,livreAudio,space-opera,avance,45-60,nuit,Isaac Asimov,Voyages intergalactiques et empires,mix,Fondation - Isaac Asimov|Le Cycle de Fondation - Isaac Asimov|Hypérion - Dan Simmons|La Guerre Éternelle - Joe Haldeman,4
U098,35-44,apprendre,livre,photographie,intermediaire,30-45,weekend,,Techniques photo et composition,nouveautes,L'Œil du Photographe - Michael Freeman|La Chambre Claire - Roland Barthes|Comprendre la Photo - Bryan Peterson,3
U099,55-64,seDivertir,podcast,nostalgie,intermediaire,30-45,apres-midi,,Souvenirs et culture rétro,habitudes,Podcast Vintage Culture|Podcast Souvenirs Souvenirs|Podcast Rétro Mania,3
U100,25-34,apprendre,livre,data-science,avance,60-90,nuit,,Machine learning et algorithmes,nouveautes,Python Machine Learning - Sebastian Raschka|Deep Learning - Ian Goodfellow|Hands-On ML - Aurélien Géron,3
